nom_pmu,pere,mere,bms
JOKER DE BRY,QUAKER JET,AVOINE,PINE CHIP WOOD
JAZZ DU BOUFFEY,CARAT WILLIAMS,POLKA DU BOUFFEY,FORTUNA FANT
JUPITER DU GOUTIER,LOVE YOU,CARMEN DU GOUTIER,QUIDO DU GOUTIER
JASMIN DE LARRE,NI HO PED D'OMBREE,PEPITE DE RETZ,PODOSIS
JINX,COKTAIL JET,TRANSAMERICA,OFFSHORE DREAM
JET DE CANVILLE,URANUS DE LARRE,AUBOISE DE VIRE,ONE DU RIB
JETLAG POTERIE,REVE DE BEYLEV,VOLGA POTERIE,DIAMANT GEDE
JORGE ARTHUR,COKTAIL JET,QUANDICE,CEZIO JOSSELYN
JAG DE LA VALLEE,PAD D'URZY,CANDY DE LA VALLEE,LITEL DE BERTRANGE
JALNY DE CASTELLE,CHARLY DU NOYER,TURBOVA,JAG DE BELLOUET
JUSTE KYRN,VANISHING POINT,UCYLA D'AZIF,KOOL DU CAUX
JAZZY,DOLLAR MACKER,DOWN TO THE RIVER,THORENS VEDAQUAIS
JUNO JIEL,SINGALO,URANIE JIEL,PODOSIS
JOY DE JIEL,ECU PIERJI,VENTURA JIEL,NEOH JIEL
JOLINOTE SY,NI HO PED D'OMBREE,VELOCIA SPORT,ORLANDO SPORT
JUVENILE CUP,ROC MESLOIS,CATCHINA,SERENO
JOY SIMARDIERE,CASH AND GO,SIMARDIERE,BUVETIER D'AUNOU
JALOUSIE LOULOU,LOOK DE STAR,KLARA DE GENETINE,USTANG DE MAI
JAMAICA FAREWELL,SINGALO,JENTADINE,URANE SAUTONNE
JAHIKA,DIJON,BALLERINA JET,QUAKER JET
JAKISA DU CHATELET,COBRA BLEU,KINERA DU CHATELET,SANCHO PANCA
JOIA DE PIENCOURT,VERY NICE MARCEAUX,RITA DE PIENCOURT,GRASSANO
JUANITA,BOLERO LOVE,QUEROSITA,JAM PRIDEM
JULILA DE VANDEL,PACHA DU PONT,DALILA DE VANDEL,QUIDO DU GOUTIER
JELLUSSACA,SABELLO,FIERE BONA,ROBESPIERRE
JEROLINA FLAC,READY CASH,BEROLINA,SAM BOURBON
JEANNE DE PELMER,COCKTAIL MESLOIS,POPOCHKA,VADUZ
JONGLEUSE DE BRY,DIJON,ANNA DE LA LOGE,PRODIGIOUS
IMPERIALE CAMP,GAZOUILLIS,COOL DESTINEE,SAXO DE VANDEL
INES TURGOT,BOOSTER WINNER,BEGUM TURGOT,FIRST DE RETZ
ISOTTA BAR,BIRD PARKER,RABANE D'ATOUT,JAG DE BELLOUET
IRIS RIVOISE,GOGO,QUOKINE DE BREVOL,ELVIS DE ROSSIGNOL
IDEE NOIRE,VILLAGE MYSTIC,PARDINIA,AND ARIFANT
IZAROSANGELA,UNICLOVE,OCEANE DE CIVRAC,LUTIN D'ISIGNY
IMMORTELLE DE BLAY,OBRILLANT,BALADE DE BLAY,JAM PRIDEM
IVILLA BLUE,BUVETIER D'AUNOU,SEVILLA GEDE,KEPI VERT
IVORY DE FAEL,SAM BOURBON,TOPAZE DE FAEL,COKTAIL JET
IMAYA CHRISTUBERT,BON COPAIN,QUINOLA DU BOULAY,FLASH DE COSSE
ISA MAUVE,TIMOKO,QUEEN MAUVE,LOVE YOU
IDEM JIHEM,NEM,RENIA DU LAUDOT,IDEAL DE L'ITON
IBERIQUE TURGOT,RIEUSSEC,NIGHT TURGOT,VITTEL
INNOCENT DU BOURG,VAUX LE VICOMTE,QUABUCHE,FORTUNA FANT
IMBRIN BUROIS,SOLEIL D'ENFER,CORVETTE DU BOURG,OCEANO NOX
IROCCO DE VIETTE,VILLAGE MYSTIC,SQUAW DU BOUFFEY,DEFI D'AUNOU
IVY METAL,CHARLY DU NOYER,VIVE FEE,LOVE YOU
IBRAHIC,REPEAT LOVE,SARABANDE,LOVE YOU
ILOUMAX,GAZOUILLIS,VERITE DE MAX,PODOSIS
IL VILLAGGIO,VILLAGE MYSTIC,VENUS DE NEULLIAC,BUVETIER D'AUNOU
IVALJO,REAL DE LOU,LUZA,COLT FORTYSIX
INDIGO SIMARDIERE,UN AMOUR D'HAUFOR,SIMARDIERE,BUVETIER D'AUNOU
IMPERIOUS CHARM,PRODIGIOUS,CELEBRISSIMA,ROCKLYN
IBIS DE CHAHAINS,VILLAGE MYSTIC,VOLOMITE SUNSHINE,ORSY DREAM
GAME HAUFOR,GANYMEDE,MAMBA D'HAUFOR,JET DU VIVIER
IBIS DE FEU,BOLD EAGLE,VIVOLTA,OISEAU DE FEUX
HADORABLE MEC,ATHOS DES ELFES,SCARLET GIRL,GOGO
HELIOS D'ALBRET,PASSWORD,VINGTIEME LUNE,HULK DES CHAMPS
