nom_pmu,pere,mere,bms
KHABESA,NEUTRON DU CEBE,SOBRALIE,DERBY DU GITE
ABHA,HURGO,ISABELLE ETOILE,ULRICH VI
GO JOHNNY GO GO GO,,,
HALEINE,TAKIMA,TRAVIATELLE,COTENTIN
SANTHIA,VESUVE T,CADENCE II,JIDALIUM
LA DONNA,SANCHO PANCA,MELINA D'AUGE,CANINO
CHELSEA GREEN,ECLAT DE LA CRAU,REINE DES BLAVES,COURLIS DU PONT
FROZEN,ORLANDO VICI,,
AKAGERA,QUARO,EPHELIE,NOAM DES FORGES
MAYLIN,SEPTIMO,URSULINE DE COLU,DATAC
EAGLE BABE,KAISY DREAM,QUATANGA,ITOU JIM
HYBRID,ROCKLYN,ATHENA DU PADOUENG,PRODIGIOUS
BUTI,IANTHIN,KATEBA,UGOLIN
AFGHANY,NANS LE BERGER,HILDA DE LORGERE,NUMICIUS M
ASHDEL,HENNEBONT,OBELISQUE,FANDANGO
MUGUETTE GIRL,TABRIZ BEGONIA,FAVORITE DU COQ,VIZIR DE RETZ
NORVILLE,ERKIS,QUATTY D'ORVILLE,FARCEUR DE MESLAY
ALKUIN,ERSIN,RAME,FLEURONNE
DECBOU,OBRILLANT,QUINTILLE,GROS GRAIN
PULSE,BUFFET II,DIVINE COMEDIE,PICARDY
SILVERSTONE,HERMES DE PERICARD,DAYNINE GITANE,QLOREST DU VIVIER
GARIGLIANO,SEDDOUK,AGLAE III,EURIPIDE
HIGH HOPE,LUDO DE CASTELLE,CUBAINE PEARL,GOETMALS WOOD
JARDIN BLEU,SPEED CLAYETTOIS,SALICE FLEURIE,KAGINO
BUSINESS PLAN,NEW DES LANDES,RESINE SOMOLLI,GINGER SOMOLLI
AMANDERO,L'INFANT ROYAL,ORCHIDEE,CHARDONNERET
VERLAN,EQUILEO,ELJES,HERMES D
MOKO,MITSOUKO,ACAPULCO,NARVICK D J
MYKISS,AKTAIOS DE JIEL,CALINEUSE,JAMES PILE
SIR GEORGE,LULO JOSSELYN,JOLIE MARIDO,VIKING DE BELLOUET
UTAMARO,KRONOS DU VIVIER,FIORE,ITAN
EDWINA,QUARO,NO LIMIT JET,DEFI D'AUNOU
SHAMSABAD,LAETENTER DIEM,IRKA DU BERRY,OPUS DEI
KAPANI,REVE D'UDON,PALANGA,BELLOUET
SCARLET RED,JENKO,CIBICHE,NODESSO
MIA BARCA,UPAS III,FANINA,PORTE BONHEUR III
SHINY SILVA,LET'S GO ALONG,CARIBBEAN ISLAND,FLORESTAN
BOMPAS,REPEAT D'OMBREE,COXA TOSIROM,PAN DE LA VAUDERE
KUDZU,TRADERS,TESSA QUICK,BUVETIER D'AUNOU
LEONESSA,FORTUNA FANT,BONNIE DES SARTS,OURAGON
IDOSSO MONTAVAL,READY CASH,UARGANE MONTAVAL,FIRST DE RETZ
PARADISE FLOWER,PERMADOUR GEDE,DAYTONA LOVER'S,TITAN KERVADEN
IRIS FARCEUSE,VERY NICE MARCEAUX,PETITE FARCE,SEBRAZAC
IGLOO DE BEAULIEU,ATLAS DE JOUDES,BALLINROBE,PASSWORD
IN LOVE WITH PUCH,QUAKER JET,QUAMIA DU RIB,CYGNUS D'ODYSSEE
ISAAC NORMAND,ROLLING D'HERIPRE,RUMBA DE LIGNY,HALIMEDE
IOLAS,SAPHIR D'HAUFOR,THALIMA DU CITRUS,KERIDO DU DONJON
IRATY D'HERIPRE,LOVE YOU,VEDETTA D'HERIPRE,ORLANDO VICI
IBIZA PACHA,BOCCADOR DE SIMM,CORSICA PACHA,MON PREMIER CEHERE
IN LOVE DE CRENNES,NICE LOVE,OSTINE DE CRENNES,BASSANO
IDEAL MOSSA,URIEL SPEED,MOSSA BRASIL,WORKAHOLIC (US)
IT'S ME MINIMES,UN TRESOR,VENUS DES MINIMES,CARPE DIEM
ICONE DE LANDISACQ,MEAULNES DU CORTA,RIVA DE LANDISACQ,COROT
IRON WILD,UN AMOUR D'HAUFOR,TZIGANE WILD,LET'S GO ALONG
I LOVE A QUEEN,SCIPION DU GOUTIER,SUITE D'ORTIGE,GOBERNADOR
JAPHET SNOB,VIGOVE,TORNADE DE CHELUN,KENOR DE COSSE
JAZZ JISCE,DRAGON DU FRESNE,OFF COURSE,ARNAQUEUR
IT'S CLASSIC ROCK,ROCKLYN,CLASSIC LADY,PASSWORD
JILANZA DU MOULIN,SINGALO,REINE D'AVOISE,LUCKY D'HILLY
JASMIN DE CANCHY,QWERTY,BRUME DE CANCHY,RIEUSSEC
JAPAN TIGER,MAGNIFICENT RODNEY,RUZ BATZ D'OMBREE,IPSON DE MORMAL
JIOSCO DIGEO,CYPRIEN DES BORDES,TARPEIENNE,KOREAN
JEUNESSE DOREE,CAPTAIN CRAZY,AQUA LITTORAL,KESACO PHEDO
JASMIN DANOVER,BLACK D'AVRIL,BEAUTE DANOVER,LAND DANOVER
JERIKA DE KERYANN,BOCCADOR DE SIMM,TINA DU SAPTEL,CAPRICCIO
JAVRILLON,QUID DE CHAHAINS,QUELLE FILLE,SANCHO PANCA
KRILLE ELLIS,SCIPION DU GOUTIER,TERRA AMATA,JAG DE BELLOUET
JEFS DES CHAMPS,BON COPAIN,PROSERPINE,FORTUNA FANT
KOSTA DE CRENNES,ASTOR DU QUENNE,OVATION DE CRENNES,EXTREME DREAM
JASMINE ELAX,VAL ROYAL,OCEANIE DU PAVE,CHEF DU CHATELET
JAGUAR DU RIB,DAHLIA DU RIB,ELDA DU RIB,UPPERCUT DU RIB
KORALIA DE CROUAY,DIJON,BAGHEERA DE CROUAY,QUAI BOURBON
KELOMA DREAM,TRESOR WIC,CAPUCINE FANAC,CHEF DU CHATELET
KATIA DU BOUQUET,JAM PRIDEM,NOISETTE JONES,CLASSIQUE NAY
KALLYPIGE,BARJAL,ANOUCHETTE,HULK DES CHAMPS
KOSY D'ERONVILLE,ERIDAN,CLEM D'ERONVILLE,PRODIGIOUS
KRAKANTE,ORLANDO VICI,SEA DU VIVIER,JEANBAT DU VIVIER
KINTE ROYALE,DIJON,FIONA DES TOUCHES,OTHELLO BOURBON
KISS ME DE JOMAX,NAHAR DE BEVAL,AVALONE JIEL,NOBILIS JIEL
KADENCE D'ENFER,PRODIGIOUS,DARLING DU NOYER,TIMOKO
KERIDA BEST,KERIDO DU DONJON,BEST ROMA DE NOE,PHLEGYAS
KANELLE DREAM,ENINO DU POMMEREUX,CASCADE DE RIVIERE,NIKY
KANCAENNAISE,ESPOIR WIC,CAENNAISE,MEMPHIS DU RIB
JOYCE PRIORY,SINGALO,BIBICHE DU PRIEURE,LE RETOUR
JOUEUSE MAJYC,REAL DE LOU,ONORINA,HERMES DE PERICARD
JEEP DE DALINE,EROS DU CHENE,ONDINE DES HAMEAUX,BACCARAT DU PONT
J'ADORE GLYCINES,VILLAGE MYSTIC,ESCALA,GOETMALS WOOD
JOLIE AMARLOUICA,ROCKFELLER CENTER,OKIDA D'OCCAGNES,CARPE DIEM
KALINE DU RIB,RANCHO GEDE,PASSION DU RIB,BUVETIER D'AUNOU
JOSEPHA MESLOISE,SCIPION DU GOUTIER,VISTA MESLOISE,ONYX DU GOUTIER
JALTA DE TILLARD,ALTO DE VIETTE,TAMISE DE TILLARD,LOOK DE STAR
JALHIA DU HANOY,DAHLIA DU RIB,QUENZA DU HANOY,FAVORI DU COTIL
JAYA SAINT CLAIR,NIKY,BRISE DE LAVAL,MAGNIFICENT RODNEY
JOA DE LA LOUTRIE,TITAN D'OCCAGNES,PIVOINE DE SASSY,CALIFE DES NOUES
JUNE LATAL,DAHLIA DU RIB,MARQUISE ERGE,DORLIC DU PAS
JADE DE TOUES,VERY LOOK,SCARLET DE TOUES,NIKY
JEEDAYA DU VIVIER,ROYAL DREAM,PAIX DU TREMBLAY,DIAMANT GEDE
JOHANA DU GUESCLIN,VITTEL DE BREVOL,BODJA DU GUESCLIN,QUIDO DU GOUTIER
JOBIC KERGWEN,QUARO,BALMA DE LEUHAN,GOGO
JOYAU DE RIVERIE,LET'S GO ALONG,QUELIA DE GAUTIERS,GATSBY DE VIVE
JASMIN D'AVE,PRODIGIOUS,QUEEN ANGELICA,HERMES DU BUISSON
JAVA DU CHERISAY,UNIQUE QUICK,ARIANE DU CHERISAY,QUICK WOOD
JUVARI DU QUENNE,ASTOR DU QUENNE,BALADE DU QUENNE,JASMIN DE FLORE
JORDAN CHENEVIERE,EASY DES RACQUES,TENDRE PENSEE,MEMPHIS DU RIB
JANGO BLEU,TAG WOOD,UNIROSA DU BOCAGE,OPUS VIERVIL
JUSTE D'UN JOUR,UHLAN DU VAL,ESTRELLA DE LOU,REAL DE LOU
JOBOURG MESLOIS,COUP DE POKER,REGATE MESLOISE,GANYMEDE
JO LA CLASS,DREAMER DELO,CLASS DE BANVILLE,QUAKER JET
J'AIME LE VENT,QUE JE T'AIME,UKITA DU MESNIL,KITKO
JOYEUX WELL,QUARO,CAMISSA,DERBY DU GITE
JASMIN VIVANCIERE,ROCKLYN,VICTORIA GIGA,ONE DU RIB
ICONE,UN MEC D'HERIPRE,TENAREZE,KIWI
JACODUS DU MELEUC,UNO DU MELEUC,DELLA DU MELLEUC,OBRILLANT
JUNKIES MINDS,VERY NICE MARCEAUX,CLASS DE KA,QUIDO DU GOUTIER
IDEAL DU BRIEU,TABLER,TYPEE DE LA DOUCE,BLUE EYES AMERICA
IPSOS DANOVER,UNIVERS LOVE,ULTIMA DANOVER,IPSOS DE PITZ
IMPACT DU BOULAY,FLASH DE COSSE,STAR DU BOULAY,JOYAU D'AMOUR
JOYAU DU RIB,DAHLIA DU RIB,TOPAZE DU RIB,INFANT DU BOSSIS
IOUP LA BOUM,VERY PLEASANT,UNITY OF PEACE,OLITRO
ILLICO DU GUESNE,CLIF DU POMMEREUX,RACHEL PIERRE,DAHIR DE PRELONG
INVINCIBLE BOY,UN AMOUR D'HAUFOR,QUELLE JOIE,HELLO JO
INDOCILE,ALADIN D'ECAJEUL,BELLA BLUE,READY CASH
HIJO MOKO,TIMOKO,ROSIRIS,PODOSIS
HUGO DU JOUAN,PARIS HAUFOR,VERO DU JOUAN,HUGO DU BOSSIS
HUDSON PATRIOT,TITAN D'OCCAGNES,LILLIA DE CARVEL,TONNERRE D'AMOUR
HIDALGO DE MIVENCE,QUOPECK,BERGAME D'ANAMA,FLAMBEAU DES PINS
HECTOR DES CAMBRES,KAISER SOZE,TARELISE,MEMPHIS DU RIB
HIGHLANDER,NIKY,BALINKA,QUAKER JET
HIP HOP MESLOIS,LOVE YOU,SEPIA MESLOISE,DERBY DU GITE
HAMIGO,CHARLY DU NOYER,NALARA,GAZOUILLIS
HURON DES LANDIERS,RIEUSSEC,VEGA DES LANDIERS,NIKY
HEROIQUE LANCELOT,NI HO PED D'OMBREE,ULIANA DE GUERON,HALIMEDE
HARTFORD,CRISTAL MONEY,TOCATA DES CHARMES,AND ARIFANT
HOTOT,GANYMEDE,STAR DE VILLENEUVE,JAG DE BELLOUET
HEMINE,JAG DE BELLOUET,A LA BONNE HEURE,ORLANDO VICI
HEAVEN STAR,CRISTAL MONEY,AQUARELLE ROSE,FIRST DE RETZ
HOMAHA BEACH,URIEL SPEED,TATA JELOCA,KAISER SOZE
HERMES DE BRAY,VITTEL DE BREVOL,NOUBA DU LYS,CLASSIC RODNEY
HISTORY DE BELFOND,VULCAIN DU VIVIER,QUYMJA,HAND DU VIVIER
HAVANA MOST,CHARLY DU NOYER,CALIENTA JETS,JEANBAT DU VIVIER
HAGATTA DE CODIERE,COQUIN BEBE,OBERNADETTE,GOBERNADOR
HAZILYS,PRINCE GEDE,QUITIDA,L'AS DE VIRETAUTE
HAYSTACK DAIRPET,TAG WOOD,ASCALA DAIRPET,ROCKLYN
HOSCOTTE DE MAUPAS,CAHAL DES RIOULTS,MINA DE MAUPAS,URANE SAUTONNE
HISTOIRE HIBE,UNO DU MELEUC,OXEDA,CAPRICCIO
INDIAN LOVE,LOVE YOU,CHABILI,READY CASH
HILLONA DE NESLE,BOCCADOR DE SIMM,VAGANIE,JAG DE BELLOUET
ICELIO D'HARCOURT,ROBERT KEEPER,LANNICK D'HARCOURT,ECLAT DE LA CRAU
IGGY PERRINE,READY CASH,UNABELLA PERRINE,DIAMANT GEDE
INDIEN PASS,REACH DE VANDEL,CHEYENNE PASS,JEANBAT DU VIVIER
IT'S DAY,COKTAIL JET,NOBODY ELSE,DEFI D'AUNOU
INDIANO JIM,CANADIEN D'AM,RAMA JIM,LOOK DE STAR
INCOGNITO,CHARLY DU NOYER,SERENA DU BOUFFEY,JEANBAT DU VIVIER
ILLUSTRE SAX,BILIBILI,UKA MARTIN EN RE,BUVETIER D'AUNOU
IMEO DU BOULAY,TRESKOOL DU CAUX,TANIA DES ORMEAUX,ONYX DU GOUTIER
ISARD DE PLAY,TABLER,DEMANDE D'ORTIGE,KESACO PHEDO
IAGO DE SENOVILLE,TITAN D'OCCAGNES,BAMBA DU CALYPSO,QUIRKY JET
IENISSE DE BARBRAY,SAXO DE VANDEL,QUELA RIVE,ECLAIR DE VANDEL
JAGUAR D'HERMES,LOVE YOU,URFEE DU MOUCHEL,BUVETIER D'AUNOU
JUST REMEMBER,UNBRIDLED CHARM,VICTORY CHARM,PRODIGIOUS
JOY FOR DANCING,PRODIGIOUS,TENDER NIGHT,LET'S GO ALONG
JANSSEN DU CLOS,RANCHO GEDE,ALTESSE DU CLOS,ECHO
JOUEUR DU LUPIN,UN MEC D'HERIPRE,VICTOIRE DU LUPIN,MEAULNES DU CORTA
JUST WITH US,PRODIGIOUS,ROYALE FLOWER,COKTAIL JET
JUPITER FRANCE,UN CHARME FOU,KANTARA SUN,BEAUTIFUL SOMOLLI
JUST A DREAM,PRODIGIOUS,BALKANIA,LET'S GO ALONG
JEAGLE DREAM,LOVE YOU,ARGENTINA DREAM,OFFSHORE DREAM
JASETTE DE ROCHE,VANISHING POINT,UNE DE VIRE,JET FORTUNA
JE REVE DU BOIS,REVE DE BEYLEV,BALLERINE DU BOIS,RAPIDE DU BOIS
JO DU DON,ROC MESLOIS,KELLY DE CORDAY,VIKING'S WAY
JOLLY LADY,BOOSTER WINNER,BELLA,HAND DU VIVIER
IDRIS DE CORTEM,NI HO PED D'OMBREE,PIACETTA,GROS GRAIN
IRPIEU DE VARVILLE,VULCAIN DU VIVIER,STAR DE VARVILLE,KSAR D'ALGOT
INSTA DU HOUSSEL,REACH DE VANDEL,AMANDE DU HOUSSEL,GAZOUILLIS
ICEBERG DEL PHEDO,CHE JENILOU,NIMOISE PHEDO,CASINO DES SPORTS
INTREPIDE DU MAINE,QUAKER JET,UNE DU MAINE,KAZIRE DE GUEZ
IMPULSE,CEZIO JOSSELYN,ABRIZANE,QUITO DE TALONAY
INSIGHT SPOKEN,PACHA DU PONT,TALOMA DU BOCAGE,ISLERO DE BELLOUET
GUEST STAR,BOCCADOR DE SIMM,ALICANTE BLEUE,ROCKLYN
IN LOVE DE L'ITON,GOETMALS WOOD,NOORA DE L'ITON,WORKAHOLIC (US)
GRAND PAJELO,PAGALOR,SYBERTE D'ECHAL,GRASSANO
ILLICO PRIOR,PARIS HAUFOR,BAMBINA PRIOR,BIESOLO
GAYA DE LORGE,NEUTRON DU CEBE,QUALINE DE LORGE,ACHILLE
GOOD WATER,VITTEL DE BREVOL,TECHTONIQUE,LET'S GO ALONG
GAULOISE D'AURCY,SUN CERAVIN,ULTIMA DE VIRE,ONYX DU GOUTIER
GENY SPEEDHYCAT,VOLTIGEUR DE MYRT,SHINE DES DOUETS,KOREAN
GAUCHO DE LA NOUE,RODRIGO JET,TULIPE DU GAVEAU,HUGO DE MAI
GENERAL SLY,VILLAGE MYSTIC,TARINA SLY,BUVETIER D'AUNOU
GRAND VENT RUSH,PAGALOR,SULANE RUSH,BIG PRESTIGE
GELADOR,BOCCADOR DE SIMM,UNE ROSE ROYALE,GOBERNADOR
GUYLAIN DE MAI,SOLEIL D'ENFER,ROSE LINDE,ECLAT DE LA CRAU
GEORGIO HAUFOR,TIEGO D'ETANG,TIRADE D'HAUFOR,HAND DU VIVIER
GRACE DE MAI,OAKWOOD DU CLOSET,TA PRESENCE,DRAG
HOMMAGE LUDOIS,LUDO DE CASTELLE,SYMPHONIE LUDOISE,VIVALDI DE CHENU
HABANERA DE VITRAY,VERY NICE MARCEAUX,AMANDINE LUDOISE,LOOK DE STAR
GAMIN DE COKTAIL,COKTAIL JET,QUEIMADA JHONS,HUGO DU BOSSIS
HIDELTO DE HOUELLE,COQUIN BEBE,THE QUEEN,JAIN DE BEVAL
HOUPPELANDE,QWERTY,MADRILENE,HETRE VERT
HOTLINE JAVANAISE,URIEL SPEED,SITUVAZA JAVA,CEDRE DU VIVIER
HOPPELA THEPOL,RIEUSSEC,NUELLE VERIE,OPUS DEI
HIMALAYA DE DALINE,UN CHARME FOU,VAYA DE DALINE,NOBODY DU CHENE
HIT PERRINE,TUCSON,MINNIE PERRINE,VIKING SUN
HELLO DE LOIRON,COQUIN BEBE,BIANCA DE LOIRON,QUATRE JUILLET
HISTORICO D'ETANG,TIEGO D'ETANG,PASSAROLDA,HULK DES CHAMPS
IDYLLE D'OEILLET,QUOPECK,TORNADE DE LAIGNE,BALOU BOY
HELMA DU COURTILS,LUDO DE CASTELLE,BELLE DU COURTILLE,KESACO PHEDO
HUIZON DES TITHAIS,NI HO PED D'OMBREE,ULNA DES TITHAIS,VIEUX SAM
ITALICA,SINGALO,BRATISLAVA,QUISLING D'ANJOU
IDOLE GENDREENNE,VERY NICE MARCEAUX,UNE GENDREENNE,NUAGE DE LAIT
ISIS DU LEARD,DJANGO RIFF,BALI DU LEARD,GAZOUILLIS
INFLORA BELLA,JAG DE BELLOUET,KOCTIFLOSA GEDE,COKTAIL JET
IRIS DU PAJ,OISEAU DE FEUX,CETTEJET D'AVRAN,JET FORTUNA
IBIZA DE CONNEE,PAGALOR,PIANA DE CONNEE,EMIR DES FRESNEAUX
IRIS DES YOLAIS,APPRENTI SORCIER,MAEVA DES YOLAIS,GOETMALS WOOD
IZZIE PONCELET,SOLEIL D'ENFER,SAGA DU PONCELET,AND ARIFANT
ILLUSION DE BETTON,INSERT GEDE,VENCE DE BETTON,LUDO DE CASTELLE
INDIANA TESS,SAXO DE VANDEL,TESS DU CHEF,CHEF DU CHATELET
IDEE D'AMOUR,SOLEIL D'ENFER,BAHAMA EREM,HAND DU VIVIER
KURT ANGELO,CRISTAL MONEY,BAHIA DE L'ODEON,OARDO
ITHENA DE GAJUEL,TUCSON,ATHENA DU LEARD,FORTUNA FANT
KAIROS ECUS,AKIM DU CAP VERT,BEA ECUS,QUICK WOOD
KELLY DE L'AUMOY,VANISHING POINT,BAILA D'OURVILLE,ROC MESLOIS
KELLY DES LOYAUX,ECU PIERJI,CALINE DES LOYAUX,VIVALDI DE CHENU
KILLER SUN DRALIAM,VOLTIGEUR DE MYRT,AKANA SENONCHOISE,MILLENIUM WOOD
KANT,TROPIC JET,EXPLOSION,GANYMEDE
KEVIVE DE MAIL,ALTO DE VIETTE,CHIPIE DE MAIL,JASON DE VANDEL
KAI LA SHA,EARL SIMON,BREIZH MABRO,ROMBALDI
KING GEORGES,FABULOUS WOOD,BARBOTINE,PRODIGIOUS
KAZAN DE VANDEL,FOLLOW YOU,DALILA DE VANDEL,QUIDO DU GOUTIER
KALINUXIE,MAGNIFICENT RODNEY,UXIE DU VIVIER,INDY DE VIVE
KELBELLE FRANCE,TUCSON,BELLE FRANCE,HALIMEDE
KALIAKIE PHEDO,VANISHING POINT,ANKHESENAMON,HISTORIEN
KOLDA DU BOUFFEY,LOVE YOU,URSULE DU BOUFFEY,INDY DE VIVE
KISS ME SYGA,BILIBILI,SUBLIME DES OBEAUX,GOETMALS WOOD
KANSAS CITY,NENUPHAR V,OCTAVIE,FRISSON II
KAHIRA DES MARES,ATLAS DE JOUDES,URANIE DES MARES,NEZ PERCE
KERRIE GALBE,UZO JOSSELYN,SONATE DU PRIEUR,JOE L'AMOROSO
KYOHA,OURAGAN DE CELLAND,FLAYEMA,UP AND QUICK
KALLAS D'OURVILLE,PASSWORD,CALLAS DE TILLARD,FIRST DE RETZ
KLASS DU THEIL,DREAMER DELO,COLOMBE DU BISSON,ONE DU RIB
BIG RAFA,LEVORINO,INGODA,ALEXIS III
SO SO,BEAUSEJOUR II,GIBOULEE,TIVATY PELO
DAYMON,IN LOVE WITH YOU,JASKINA,QUITO DE TALONAY
TORO TORO,LOVE YOU,SISSI D'AUNOU,CHAMBON P
KALINKA DU BLEUET,VIKING DE VAL,DANSEUSE DU BLEUET,OISEAU DE FEUX
AKTIMOR,ORGON C,RABEGA P,TIGRE ROYAL
GRAN CAOS,INCONNU,,
SILVER WOLF,GOETMALS WOOD,JODIE CROWN,BON CONSEIL
GRACIA BELLA,JENKO,MILITIA,NOBLE ATOUT
TIE BREAK,DISCRET AMOUR,GUADIX,NICIAS GRANDCHAMP
LOLITA RED,UNIQUE QUICK,ETOILE DE SOMMAIRE,TIEGO D'ETANG
ENGLA,OPIUM D'ARTOIS,ROSACEE,CARPE DIEM
AGUA YIL,ICO KIKI,DASILIA DU BOIS,OLAF DE BRION
TOLUCHO,ABNER,GUINGUETTE III,QUIROGA II
ICONICA,COKTAIL JET,REBECCA JET,DEFI D'AUNOU
LONG SHOT,SINGALO,VOLTIGE,JAG DE BELLOUET
ENDERS,QUADOU DE CHENU,PRIMAUTE,GAZON
VENDETTO,QUARO,OLAND,HAND DU VIVIER
ANTUN,EQUILEO,PHANIA,QUIOCO
JASPER PARK,PAGALOR,DAUPHINE DU MELEUC,SAPHIR DES ELFES
CINEMA PARADISO,PRINCE D'ESPACE,QUERELLE BASTIAISE,QUITO DE TALONAY
DALLADOR,OZIO ROYAL,MARIE D'ISOP,CEDRE DU VIVIER
VOLKO,ESCHSCHOLTZIA B,LA KOW D,DAKOW D
FLORCITA,OLTEN L,UMNODIA,CHABRIER
CARLONCHO,PRINCE GOLD,OCARLA,CARLO D'ORSAY
DISOLUTO,QUARISSO,TARA BRILLOUARD,DUC DE VRIE
LAQUE,NOBLE ATOUT,BICHE D'OO,HETRE VERT
POWER DENVER,IPSON DE MORMAL,SAMBA DE PITZ,JET DU VIVIER
KENDAR,QUARO,CAMBRILS PRINCESS,PIM QUICK
GRAN LLAE,VICTOR GIO,,
KURO,UMBRE D'OR,EROSIA DU MESNIL,PATUS D
LOBATON,BLUMMER L,RISTOURNE L D,GUTEMBERG A
BIG RED,MANDARINO BLUE,PRALINE DU LYS,CLASSIC RODNEY
IF YOU NEED ME,NICE LOVE,NENETTE VERTE,HETRE VERT
TARQUINO,VIVALDI DE CHENU,KANTARA BELLA,EXTREME DREAM
YUSUF,USUFRUIT III,JAUBAINE,VAE VICTIS II
GOLDEN IMAGE,NONANT LE PIN,QUENOTTE III,BOURBONNAIS D
GHOST RAIDER,NIKY,RUCHE HONEY,QUADROPHENIO
DON TACO,REDEO JOSSELYN,MISS ATOUT,NOBLE ATOUT
GRACO,TIMOKO,RACHEL DU CAP VERT,JET FORTUNA
CURRY,QUINTAN BONHEUR,RURALE DES DACIERS,COQ SOURDIN
EL MANOLO,MAITRE ATOUT,TIRAQUINA,ELIOSUS
CUBITO,PHI PHI ATOUT,ECUBIENNE,UCCELLO B
DEGONA,KAISY DREAM,SWEET CAROLINE,COKTAIL JET
DASSEL,UBRIACO,QUAMISSA,JASMIN DE FLORE
SURIMAR,FLASH DES SARTS,JOTA DES ETROITS,PERRIN DANDIN
FURAT,OMNIFER,ULTIME D'HERCLA,NISKO DU VIVIER
GIANT CATH,QUITO DE TALONAY,PUSSY CAT,FIRSTLY
BIANCAROSA,OR EMERAUDE,NANCY DES CHARMES,BELLOUET
HEAVENLY WELL,OBRILLANT,TOSCANE DE MADRE,BUVETIER D'AUNOU
IMPATIENT DU LUPIN,JAG DE BELLOUET,REINE DU LUPIN,GENERAL DU POMMEAU
HYOU LOLALYS,LOOK DE STAR,UTAH DU BOUFFEY,BACCARAT DU PONT
IRIS DES MAUPI,VITTEL DE BREVOL,NOISETTE DE RITZ,GO LUCKY
HAPPYDAY VERDIERES,QUARTZ DE FAEL,BAYONNE,ROLLING D'HERIPRE
HORTENSIA MIKA,HULK DES CHAMPS,FEE MIKA,VIRSTLY GEDE
INSOLENT SOMOLLI,BOOSTER WINNER,STAR SOMOLLI,GINGER SOMOLLI
INTUITION SOYER,VALKO JENILAT,ROSALIE SOYER,ISMAEL DU PONT
IGGYPOP D'HERFRAIE,RODRIGO JET,SILICE D'HERFRAIE,GOETMALS WOOD
IQUEM D'AMER,BOOSTER WINNER,BOQUILLA,NIKY
INDICE DU CAIEU,RIEUSSEC,QUENOTTE DU CAIEU,QUADROPHENIO
ICEBERG BLANC,VITTEL DE BREVOL,NOCE BLANCHE,SANCHO PANCA
INDY DARK,READY CASH,RASTA PERRINE,LOOK DE STAR
IDDEN FORTUNE,DOBERMAN,THE PANTHERE,JAIN DE BEVAL
INVINCIBLE DE BRY,BOLD EAGLE,TIRADE,MEMPHIS DU RIB
IRON DE GINAI,BIRD PARKER,LUCIOLE DE GINAI,WORKAHOLIC (US)
IMZARA VALIERE,TORINO D'AUVILLIER,NAZLA VALIERE,BALOU BOY
ISTRA,ULYSSE,PAGAIE,TARASS BOULBA
IMAGE D'HERFRAIE,VOLTIGEUR DE MYRT,OSMOSE D'HERFRAIE,GOETMALS WOOD
INTERGALACTIQUE,VIGOVE,LUNA VROUM,VROUM D'OR
INDRA EURIEULT,ORIGANO LAP,CYBELE DE CORBERY,MILORD DU CHENE
INDIA D'ECAJEUL,CHARLY DU NOYER,AMBRA SOMOLLI,COKTAIL JET
INFERNA DE HOUELLE,UP AND QUICK,THE QUEEN,JAIN DE BEVAL
IMPERATRICE LOVE,DJANGO RIFF,ROSE LOVE,LOVE YOU
ISBA DU DOME,UNIVERS DE PAN,MA CIGALE,DYASAR GRANDCHAMP
IGANA D'ALB,QUIDO DU GOUTIER,MORGANE D'ALB,VIVIER DE MONTFORT
IRVANA JEPHI,ARTISTE DE JOUDES,TAFNA DE CARVEL,COROT
DOLCE D'EBANE,KEPLER,NULCINEE,VIKING SUN
IRISEE DES GOSSETS,TORNADO BELLO,TULIPE DES GOSSETS,CANADA
INDIANA DE PLAY,NI HO PED D'OMBREE,QUARLA WEST,TARASS BOULBA
GHOSTBUSTER,NIKY,ABRICOTINE,DEFI D'AUNOU
INFANT PERRINE,ATLAS DE JOUDES,QUERIDA PERRINE,FLEURON PERRINE
HERADAMES,QUAKER JET,BADAMES,READY CASH
DISCO D'OCCAGNES,KIWI,MAKITA,DAHIR DE PRELONG
EVER DREAM MUSIC,KAISER SOZE,MUSIQUE DOUCE,DON PAULO
ERASME WILLIAMS,QUAI BOURBON,MISS WILLIAMS,SANCHO PANCA
FIESTA DU BELVER,ROI DU COQ,SINDY DE LA NOE,GOETMALS WOOD
FALCO DES ROCHERS,QUEROAN DE JAY,INES D'AVIGNERE,OMNIFER
FIRST DU BOIS,SUN CERAVIN,JIVANIA DU PRE,BEAUTIFUL SOMOLLI
DE LA CHENEVIERE,TI PUNCH RIVER,OLINA DES CAILLONS,GIANT CAT
EFFIGIE ROYALE,ECHO,UNION DE JOSYLDA,LAETENTER DIEM
DERBY DU DOLLAR,RODRIGO JET,MAGALIE DU DOLLAR,ACHILLE
EQUINOXE JIEL,RANCHO GEDE,THEMIS JIEL,NEOH JIEL
HIDALGO DES NOES,OPIUM,ROSINA DU PONT,JAM PRIDEM
HAPPY VALLEY,ROYAL DREAM,MYSTERIOUS VALLEY,GOETMALS WOOD
FILOU D'ANJOU,OTHELLO BOURBON,GIRL BEGONIA,UKIR DE JEMMA
DEEDJAR DU VIVIER,READY CASH,SARGA DU VIVIER,JEANBAT DU VIVIER
FILWELL,QWERTY,REGENCE,INSERT GEDE
