race_id,hippodrome,nb_partants,sans_cote,sans_sf,sans_driver_forme,sans_biais_hippo,sans_ecart_corde,valides_pour_place,date_verif
11082026_5_5,CABOURG,13,0,3,0,0,3,10,2026-08-11T18:36:32.201638+00:00
11082026_5_6,CABOURG,16,0,3,0,0,3,13,2026-08-11T19:01:03.064917+00:00
11082026_5_7,CABOURG,14,0,3,0,0,3,11,2026-08-11T19:36:24.703689+00:00
11082026_5_8,CABOURG,13,0,1,1,0,2,11,2026-08-11T20:00:58.736945+00:00
12082026_1_1,ENGHIEN,11,0,1,0,0,1,10,2026-08-12T11:48:23.910451+00:00
12082026_1_2,ENGHIEN,15,0,0,0,0,0,15,2026-08-12T12:24:30.591212+00:00
12082026_4_1,HYERES,11,0,2,0,0,2,9,2026-08-12T12:36:24.696015+00:00
12082026_1_3,ENGHIEN,10,0,0,0,0,0,10,2026-08-12T12:48:34.472814+00:00
12082026_4_2,HYERES,8,0,0,0,0,0,8,2026-08-12T13:12:35.068865+00:00
12082026_1_4,ENGHIEN,15,0,0,1,0,1,14,2026-08-12T13:24:24.086935+00:00
12082026_4_3,HYERES,7,0,0,0,0,0,7,2026-08-12T13:48:26.495615+00:00
12082026_1_5,ENGHIEN,15,0,0,0,0,0,15,2026-08-12T14:01:01.482198+00:00
12082026_4_4,HYERES,8,0,0,0,0,0,8,2026-08-12T14:24:24.225864+00:00
12082026_1_6,ENGHIEN,13,0,0,0,0,0,13,2026-08-12T14:36:22.187662+00:00
12082026_4_5,HYERES,8,0,0,0,0,0,8,2026-08-12T15:01:05.223506+00:00
12082026_1_7,ENGHIEN,12,0,0,0,0,0,12,2026-08-12T15:12:33.457801+00:00
12082026_4_6,HYERES,7,0,0,0,0,0,7,2026-08-12T15:31:39.562471+00:00
12082026_1_8,ENGHIEN,14,0,0,0,0,0,14,2026-08-12T16:01:07.374001+00:00
12082026_6_1,LES SABLES D OLONNE,14,6,3,0,0,3,5,2026-08-12T16:01:07.374001+00:00
